id, test, cantEquipos, cantPartidos, diff
0, test1, 6, 13, 0.00000000000000
1, test-prob-2, 6, 12, 0.00000000000000
2, test-prob-1, 6, 11, 0.00000000000000
3, test2, 6, 10, 0.00000000000000
4, test_completo_10_1, 10, 45, 0.00000000000000
