fecha,equipo1,puntaje1,equipo2,puntaje2
20151029,15,112,12,103
20151029,1,112,20,101
20151029,13,104,7,88
20151030,6,102,16,92
20151030,21,139,22,136
20151030,29,99,23,71
20151030,28,113,2,103
20151030,9,98,5,94
20151030,1,97,4,94
20151030,30,118,17,113
20151030,27,102,3,75
20151030,18,95,8,78
20151030,10,112,11,92
20151030,26,132,14,114
20151030,24,110,25,92
20151031,29,97,12,76
